num,fecha,clave_edo,estado,clave_mun,municipio,categoria,tipo
270,2016-10-04,11,Guanajuato,11037,Silao,Vandalismo al Tren,Cierre de Angulares
271,2016-10-04,08,Chihuahua,08021,Delicias,Vandalismo al Tren,Cierre de Angulares
272,2016-10-04,11,Guanajuato,11005,Apaseo el Grande,Vandalismo al Tren,Cierre de Angulares
273,2016-10-04,11,Guanajuato,11011,Cortazar,Vandalismo al Tren,Cierre de Angulares
274,2016-10-04,14,Jalisco,14002,Acatlán de Juárez,Vandalismo al Tren,Cierre de Angulares
275,2016-10-04,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
276,2016-10-04,11,Guanajuato,11023,Pénjamo,Vandalismo al Tren,Cierre de Angulares
277,2016-10-04,11,Guanajuato,11020,León,Vandalismo al Tren,Cierre de Angulares
278,2016-10-04,11,Guanajuato,11015,Guanajuato,Vandalismo al Tren,Cierre de Angulares
279,2016-10-04,14,Jalisco,14039,Guadalajara,Vandalismo al Tren,Cierre de Angulares
